Gene id	MeanTPM (G45A-OE)	MeanTPM (CON)	log2FoldChange	pValue	qValue	result
LOC110260444	0.051743333	0.0001	9.015229186	0.009028447	0.022312669	-
LOC110260445	0.003166333	0.003714	-0.230160673	0.995273436	1	-
LOC110260446	0.0001	0.0001	0	1	1	-
LOC110260447	0.0001	0.0001	0	1	1	-
LOC110260448	0.0001	0.0001	0	1	1	-
LOC110260449	0.056262	0.032660667	0.784606599	0.822851433	0.890700996	-
LOC110260450	0.009223667	0.0001	6.527268471	0.643745421	1	-
LOC110260451	0.0001	0.0001	0	1	1	-
LOC110260452	0.0001	0.0001	0	1	1	-
LOC110260453	0.0001	0.049522	-8.95192577	0.709036939	1	-
LOC110260454	0.015914	0.023951667	-0.589829545	0.995273436	1	-
LOC110260455	0.0001	0.0001	0	1	1	-
LOC110260456	0.0001	0.0001	0	1	1	-
LOC110260457	0.0001	0.089218	-9.801190997	0.294699341	0.427561124	-
LOC110260458	0.0001	0.0001	0	1	1	-
LOC110260459	0.0001	0.0001	0	1	1	-
LOC110260460	0.0001	0.0001	0	1	1	-
LOC110260461	0.0001	0.0001	0	1	1	-
LOC110260462	0.031483	0.0001	8.298429211	0.540062526	1	-
LOC110260463	0.0001	0.0001	0	1	1	-
LOC110260464	0.0001	0.0001	0	1	1	-
LOC110260465	0.0001	0.179785667	-10.81206229	0.181679177	0.292255821	-
LOC110260466	0.023163667	0.0001	7.855719831	0.625741597	1	-
LOC110260467	0.021498667	0.002604667	3.045076528	0.802904315	1	-
LOC110260468	0.0001	0.003135	-4.970393538	0.836624538	1	-
LOC110260469	0.086229333	0.0001	9.752034916	0.108039845	0.192165317	-
LOC110260470	0.301277	0.157558333	0.935204478	0.578731557	0.701889467	-
LOC110260471	0.194446333	0.186357333	0.061300439	0.960375458	0.976810876	-
LOC110260472	0.0001	0.018124667	-7.501810652	0.629730267	1	-
LOC110260473	0.0001	0.0001	0	1	1	-
LOC110260474	0.047203	0.0001	8.882734743	0.603105337	1	-
LOC110260475	0.0001	0.0001	0	1	1	-
LOC110260476	0.0001	0.0001	0	1	1	-
LOC110260477	1.333467333	1.559369	-0.225779877	0.620927295	0.737096594	-
LOC110260478	0.0001	0.0001	0	1	1	-
LOC110260479	0.0001	0.0001	0	1	1	-
LOC110260480	0.0001	0.0001	0	1	1	-
LOC110260481	0.0001	0.0001	0	1	1	-
LOC110260482	0.0001	0.0001	0	1	1	-
LOC110260483	0.076304333	0.079879	-0.066051282	0.986392235	0.992304671	-
LOC110260484	0.0001	0.0001	0	1	1	-
LOC110260485	0.217596333	0.061370667	1.826033086	0.387784928	0.528078846	-
LOC110260487	0.810425333	0.790074667	0.03669027	0.93063339	0.959727563	-
LOC110260488	0.0001	0.0001	0	1	1	-
LOC110260489	0.149086	0.001121667	7.054356973	0.178426623	0.288119339	-
LOC110260490	0.0001	0.0001	0	1	1	-
LOC110260492	0.0762	0.030018333	1.343947119	0.490254587	0.625343166	-
LOC110260563	0.266491667	0.027332333	3.285409888	0.000306138	0.001029384	-
LOC110260564	0.042383667	0.0001	8.727364592	0.643745421	1	-
LOC110260565	0.298318667	0.416084333	-0.480021714	0.665204304	0.774870811	-
LOC110260567	0.037070667	0.248788667	-2.746570801	0.192173825	0.30580411	-
LOC110260568	1.823441	0.966806	0.915365188	0.749913253	0.839336671	-
LOC110260569	0.0001	0.0001	0	1	1	-
LOC110260570	0.0001	0.0001	0	1	1	-
LOC110260571	0.0001	0.0001	0	1	1	-
LOC110260572	0.0001	0.0001	0	1	1	-
LOC110260573	0.0001	0.0001	0	1	1	-
LOC110260574	0.0001	0.0001	0	1	1	-
LOC110260575	0.0001	0.0001	0	1	1	-
LOC110260576	0.0001	0.0001	0	1	1	-
LOC110260577	0.0001	0.0001	0	1	1	-
LOC110260579	0.0001	0.009553333	-6.577932299	0.659806125	1	-
LOC110260580	0.0001	0.009253	-6.531849286	0.659806125	1	-
LOC110260581	0.0001	0.0001	0	1	1	-
LOC110260582	0.0001	0.0001	0	1	1	-
LOC110260583	0.002315667	0.001218667	0.926124027	0.976475162	1	-
LOC110260584	0.084495	0.010547	3.002033277	0.26853582	0.398067077	-
LOC110260585	0.0001	0.0001	0	1	1	-
LOC110260586	0.0001	0.0001	0	1	1	-
LOC110260588	0.0001	0.0001	0	1	1	-
LOC110260589	0.0001	0.0001	0	1	1	-
LOC110260590	1.637571667	1.580086	0.051554963	0.963623773	0.978688428	-
LOC110260591	1.015449667	0.543589333	0.901529679	0.235137073	0.358296044	-
LOC110260592	0.0001	0.0001	0	1	1	-
LOC110260593	0.0001	0.0001	0	1	1	-
LOC110260594	0.0001	0.0001	0	1	1	-
LOC110260595	0.0001	0.0001	0	1	1	-
LOC110260596	0.373404333	0.105609	1.822005884	3.38E-08	2.03E-07	-
LOC110260597	0.0001	0.0001	0	1	1	-
LOC110260598	0.0001	0.0001	0	1	1	-
LOC110260599	0.0001	0.0001	0	1	1	-
LOC110260600	0.110392667	0.1035	0.09301357	0.983997947	0.990974071	-
LOC110260601	0.056799667	0.0001	9.149738653	0.186590385	0.298598144	-
LOC110260608	0.0001	0.014914667	-7.220587924	0.629730267	1	-
LOC110260609	0.101231667	0.180613333	-0.835243745	0.310997152	0.445793829	-
LOC110260610	4.383814333	4.893354	-0.158636958	0.481779911	0.617951361	-
LOC110260611	1.375043	1.170707667	0.232095864	0.586098734	0.707802905	-
LOC110260612	1.394543	1.479930667	-0.085737169	0.366177464	0.505489015	-
LOC110260613	0.357691	0.327571	0.126906178	0.982865041	0.990304682	-
LOC110260614	0.492416667	0.399755667	0.300761109	0.785628579	0.865168643	-
LOC110260615	0.06264	0.029622667	1.080382693	0.423909989	0.563768844	-
LOC110260616	0.240096333	0.540330667	-1.170229194	0.167618139	0.274650191	-
LOC110260617	0.152202	0.247133	-0.699300352	0.642874999	0.755984779	-
LOC110260618	0.0001	0.0001	0	1	1	-
LOC110260619	0.115798	0.064856667	0.836283553	0.261440388	0.38994811	-
LOC110260620	1.424850667	0.434124	1.714631636	0.012631534	0.030092772	-
LOC110260621	0.0001	0.0001	0	1	1	-
LOC110260622	0.039174667	0.02098	0.900906321	0.677299251	0.785057589	-
LOC110260623	0.0001	0.0001	0	1	1	-
LOC110260626	0.571338333	0.312801	0.869100204	0.117889204	0.206422684	-
LOC110260629	0.133616	0.128923667	0.05157565	0.934242034	0.962252013	-
LOC110260630	0.451605667	0.072756	2.633925456	0.036818271	0.076711448	-
LOC110260631	0.0001	0.009509	-6.571221725	0.659806125	1	-
LOC110260634	0.093011667	0.045369333	1.035694228	0.296425198	0.429312459	-
LOC110260635	0.290460333	0.361722	-0.31654019	0.582001383	0.704508511	-
LOC110260636	0.240553333	0.091587	1.393142051	0.296019507	0.428920706	-
LOC110260637	0.0001	0.0001	0	1	1	-
LOC110260640	0.021706333	0.0001	7.761972234	0.427571628	1	-
LOC110260641	0.870406667	0.298860667	1.542216572	0.010854219	0.026306348	-
LOC110260642	0.764503	0.885559333	-0.212066809	0.666435694	0.775923816	-
LOC110260643	11.68178067	12.97045767	-0.150969184	0.094505554	0.171700819	-
LOC110260644	0.0001	0.0001	0	1	1	-
LOC110260646	0.024093333	0.012856333	0.906154765	0.772538256	0.855703562	-
LOC110260647	3.186494667	1.594870333	0.998531112	0.000179611	0.000633011	-
LOC110260649	0.0001	0.0001	0	1	1	-
LOC110260650	0.117740333	0.056982667	1.047013574	0.430699749	0.5702817	-
LOC110260651	0.0001	0.0001	0	1	1	-
LOC110260652	0.0001	0.0001	0	1	1	-
LOC110260653	0.0001	0.0001	0	1	1	-
LOC110260654	0.0001	0.0001	0	1	1	-
LOC110260655	0.042584667	0.045071667	-0.081886742	0.957839867	1	-
LOC110260657	0.083920667	0.0001	9.712882329	0.167846938	0.274812185	-
LOC110260658	0.033574333	0.026558	0.338212247	0.811614477	1	-
LOC110260659	6.324053333	5.920334667	0.095170803	0.987236461	0.992659977	-
LOC110260660	53.59707767	71.906171	-0.423961247	2.80E-06	1.30E-05	-
LOC110260662	0.0001	0.0001	0	1	1	-
LOC110260665	0.049359333	0.383107	-2.956352572	0.003248835	0.008884007	-
LOC110260667	0.0001	0.0001	0	1	1	-
LOC110260668	0.025133	0.022496	0.159914389	0.957421828	0.97499061	-
LOC110260669	0.114619667	0.122739	-0.098739129	0.777033455	0.859269851	-
LOC110260670	0.183071	0.0001	10.83818756	0.001130016	0.003412097	-
LOC110260671	16.40336767	0.094303333	7.442467553	5.46E-83	2.21E-80	up
LOC110260672	0.0001	0.0001	0	1	1	-
LOC110260673	0.0001	0.0001	0	1	1	-
LOC110260674	0.0001	0.0001	0	1	1	-
LOC110260675	0.0001	0.0001	0	1	1	-
LOC110260676	0.008529667	0.0001	6.414417458	0.255372834	1	-
LOC110260677	0.0001	0.0001	0	1	1	-
LOC110260678	0.0001	0.002156667	-4.430731306	0.659806125	1	-
LOC110260679	0.0001	0.0001	0	1	1	-
LOC110260680	0.0001	0.0001	0	1	1	-
LOC110260681	0.0001	0.0001	0	1	1	-
LOC110260682	0.0001	0.0001	0	1	1	-
LOC110260684	0.331674333	0.141193667	1.232091996	0.364753695	0.503889003	-
LOC110260685	0.060964333	0.035067	0.79785144	0.709678897	0.808761169	-
LOC110260686	0.0001	0.0001	0	1	1	-
LOC110260687	0.035839333	0.031236333	0.198318688	0.860855686	0.915779885	-
LOC110260689	0.617496333	0.304488667	1.020042039	0.523390934	0.654599396	-
LOC110260690	0.161282667	0.03651	2.143227824	0.46095408	0.598858563	-
LOC110260691	0.0001	0.0001	0	1	1	-
LOC110260692	0.0001	0.0001	0	1	1	-
LOC110260693	0.0001	0.0001	0	1	1	-
LOC110260694	0.0001	0.0001	0	1	1	-
LOC110260695	0.0001	0.007943333	-6.311672641	0.709036939	1	-
LOC110260697	0.0001	0.022511333	-7.814507699	0.341418986	1	-
LOC110260698	0.0001	0.0001	0	1	1	-
LOC110260699	0.0001	0.004029667	-5.332588599	0.604367485	1	-
LOC110260700	0.005239333	0.0001	5.711311346	0.454918601	1	-
LOC110260701	0.480844333	0.465402	0.047092507	0.837327832	0.900126238	-
LOC110260702	0.0001	0.0001	0	1	1	-
LOC110260703	0.0001	0.0001	0	1	1	-
LOC110260704	0.0001	0.0001	0	1	1	-
LOC110260705	0.0001	0.024937333	-7.962163389	0.453923507	1	-
LOC110260706	0.0001	0.0001	0	1	1	-
LOC110260707	0.0001	0.0001	0	1	1	-
LOC110260708	0.0001	0.0001	0	1	1	-
LOC110260709	0.0001	0.0001	0	1	1	-
LOC110260710	0.011048	0.006042	0.870687136	0.90275413	0.942928273	-
LOC110260711	0.011224667	0.009653	0.217623319	0.991767685	1	-
LOC110260712	0.0001	0.0001	0	1	1	-
LOC110260715	1.397256	0.688134333	1.021834239	0.095980759	0.17409889	-
LOC110260717	0.0001	0.0001	0	1	1	-
LOC110260718	0.0001	0.0001	0	1	1	-
LOC110260719	0.105863667	0.006292333	4.07246862	0.004484059	0.011912639	-
LOC110260720	0.007567	0.0001	6.24164954	0.603105337	1	-
LOC110260722	0.0001	0.0001	0	1	1	-
LOC110260723	0.0001	0.0001	0	1	1	-
LOC110260725	0.080588667	0.048098667	0.744580062	0.650511272	0.761952007	-
LOC110260726	0.061506	0.170215	-1.468559119	0.179357225	0.289253984	-
LOC110260727	0.0001	0.0001	0	1	1	-
LOC110260728	0.0001	0.0001	0	1	1	-
LOC110260729	0.0001	0.0001	0	1	1	-
LOC110260730	2.929577	2.148321667	0.447482347	0.131750915	0.226098213	-
LOC110260731	0.0001	0.0001	0	1	1	-
LOC110260732	0.0001	0.0001	0	1	1	-
LOC110260733	0.0001	0.0001	0	1	1	-
LOC110260734	0.010394333	0.007896667	0.396481532	0.932350696	1	-
LOC110260735	0.126286667	0.069984	0.851605297	0.528849549	0.658984759	-
LOC110260737	0.933592333	0.374787667	1.316719235	0.078597472	0.147283213	-
LOC110260739	0.014393	0.007966	0.853439946	0.616406822	0.733922063	-
LOC110260740	0.0001	0.0001	0	1	1	-
LOC110260741	0.0001	0.0001	0	1	1	-
LOC110260742	0.018013333	0.005370333	1.745981631	0.628245302	0.743465921	-
LOC110260743	0.023934	0.008098333	1.563364598	0.696806109	0.799114609	-
LOC110260744	0.0001	0.0001	0	1	1	-
LOC110260745	0.0001	0.0001	0	1	1	-
LOC110260746	0.542592333	0.148034	1.873940095	0.001440096	0.004239441	-
LOC110260747	0.090748333	0.0001	9.825727337	0.000227991	0.000786196	-
LOC110260749	0.0001	0.0001	0	1	1	-
LOC110260750	0.0001	0.0001	0	1	1	-
LOC110260751	3.935531667	1.941240667	1.01957956	1.03E-07	5.78E-07	-
LOC110260752	0.470873333	0.142337	1.726028288	0.029315525	0.063160273	-
LOC110260753	2.626665667	0.83861	1.647160641	1.64E-06	7.83E-06	-
LOC110260754	0.0001	0.0001	0	1	1	-
LOC110260755	0.512437	0.402182	0.349526134	0.543818155	0.672224078	-
LOC110260756	0.118742667	0.061034	0.960153369	0.029930263	0.064302771	-
LOC110260757	0.001520667	0.002145333	-0.496497879	0.816746547	1	-
LOC110260759	0.750849	0.192621667	1.962752812	0.038771414	0.080279982	-
LOC110260760	0.506639667	0.208817	1.278720867	0.019823575	0.044751156	-
LOC110260761	1.844734667	1.259495667	0.550567166	0.004923097	0.012945318	-
LOC110260762	5.90E-05	0.0001	-0.76121314	0.790861922	1	-
LOC110260765	0.0001	0.0001	0	1	1	-
LOC110260766	0.0001	0.014869667	-7.216228497	0.629730267	1	-
LOC110260767	0.0001	0.0001	0	1	1	-
LOC110260768	0.0001	0.0001	0	1	1	-
LOC110260769	0.33433	0.554467333	-0.72982965	0.129270837	0.222806084	-
LOC110260770	0.029437667	0.0001	8.201519513	0.305560295	1	-
LOC110260771	0.0001	0.0001	0	1	1	-
LOC110260772	6.309462333	2.218541	1.507905855	4.71E-22	1.07E-20	up
LOC110260773	0.0001	0.0001	0	1	1	-
LOC110260775	1.021117333	1.387796	-0.442646862	0.882914821	0.930100999	-
LOC110260776	0.049685667	0.024434	1.023939662	0.342649681	0.480785543	-
LOC110260778	0.0001	0.0001	0	1	1	-
LOC110260779	0.0001	0.003997667	-5.321086277	0.659806125	1	-
LOC110260780	0.118391	0.035992667	1.717784513	0.227518944	0.349541815	-
LOC110260782	0.0001	0.0001	0	1	1	-
LOC110260784	0.0001	0.0001	0	1	1	-
LOC110260785	0.0001	0.0001	0	1	1	-
LOC110260786	0.010139333	0.013417667	-0.404171011	0.984386545	1	-
LOC110260787	0.0001	0.0001	0	1	1	-
LOC110260788	0.029241	0.01095	1.41706178	0.54936016	0.676482769	-
LOC110260789	0.014689333	0.0001	7.198625111	0.471550132	1	-
LOC110260790	0.009642	0.0001	6.591260525	0.603105337	1	-
LOC110260791	0.0001	0.0001	0	1	1	-
LOC110260792	0.017303	0.020558667	-0.248724507	0.753896748	0.841716499	-
LOC110260793	0.208318	0.123154667	0.758316206	0.662729863	0.772796023	-
LOC110260794	0.0001	0.0001	0	1	1	-
LOC110260795	0.0001	0.0001	0	1	1	-
LOC110260796	0.0001	0.0001	0	1	1	-
LOC110260797	0.027544667	0.027145	0.02108652	0.950739676	0.971488196	-
LOC110260798	0.117289333	0.183407	-0.644976887	0.545505154	0.673347422	-
LOC110260799	0.0001	0.0001	0	1	1	-
LOC110260800	0.317808333	0.156865	1.018633463	0.396004744	0.53692929	-
LOC110260801	0.255871	0.341011333	-0.414403043	0.289675144	0.422041054	-
LOC110260802	0.007801667	0.003472667	1.167738423	0.797514253	1	-
LOC110260803	0.276606	0.100080667	1.466669146	0.057074022	0.111954247	-
LOC110260804	0.018955333	0.031622667	-0.738355205	0.437157901	0.576626751	-
LOC110260806	0.0001	0.0001	0	1	1	-
LOC110260807	0.0001	0.0001	0	1	1	-
LOC110260808	0.0001	0.0001	0	1	1	-
LOC110260809	4.272687667	3.085437333	0.469668867	0.001176928	0.00354027	-
LOC110260810	0.0001	0.0001	0	1	1	-
LOC110260812	0.835376667	0.893090333	-0.096379259	0.683907546	0.789698522	-
LOC110260813	0.01135	0.019400333	-0.773389143	0.647971202	0.759818384	-
LOC110260814	0.211896	0.156077333	0.44109532	0.71054839	0.809386392	-
LOC110260815	0.000349333	0.001307	-1.903582925	0.673384944	1	-
LOC110260816	0.0001	0.0001	0	1	1	-
LOC110260817	0.066172667	0.009907333	2.739666722	0.042610799	0.087158452	-
LOC110260818	0.0001	0.0001	0	1	1	-
LOC110260819	0.0001	0.0001	0	1	1	-
LOC110260820	0.251190333	0.201271333	0.319639239	0.703286474	0.804027509	-
LOC110260821	0.0001	0.0001	0	1	1	-
LOC110260822	0.007432333	0.012626667	-0.764586718	0.745543253	0.836108458	-
LOC110260823	0.083708667	0.040042667	1.063838943	0.43009957	0.569724796	-
LOC110260824	0.193509667	0.263904	-0.447607581	0.509749119	0.642162441	-
LOC110260825	0.033922667	0.006663333	2.347933614	0.153169733	0.255753146	-
LOC110260826	0.0001	0.0001	0	1	1	-
LOC110260827	0.323401	0.463674333	-0.519787729	0.304192853	0.438294675	-
LOC110260828	0.0001	0.0001	0	1	1	-
LOC110260829	0.0001	0.0001	0	1	1	-
LOC110260830	0.0001	0.0001	0	1	1	-
LOC110260831	0.102588667	0.019101333	2.425126109	0.294936814	0.42784044	-
LOC110260832	0.0001	0.0001	0	1	1	-
LOC110260833	0.002267	0.002766	-0.287016765	0.976475162	1	-
LOC110260835	0.274865	0.175399	0.64808269	0.644897168	0.757426889	-
LOC110260836	0.0001	0.0001	0	1	1	-
LOC110260837	0.0001	0.0001	0	1	1	-
LOC110260838	0.059879667	0.0001	9.22592238	0.427571628	1	-
LOC110260839	0.018939667	0.022415333	-0.243075014	0.96195154	1	-
LOC110260840	2.058244333	1.189406333	0.791172591	0.173454999	0.281956951	-
LOC110260841	0.0001	0.0001	0	1	1	-
LOC110260842	0.0001	0.0001	0	1	1	-
LOC110260843	0.0001	0.0001	0	1	1	-
LOC110260844	0.0001	0.0001	0	1	1	-
LOC110260845	0.0001	0.0001	0	1	1	-
LOC110260846	0.0001	0.0001	0	1	1	-
LOC110260847	0.0001	0.0001	0	1	1	-
LOC110260848	0.0001	0.0001	0	1	1	-
LOC110260849	0.0001	0.0001	0	1	1	-
LOC110260850	0.0001	0.0001	0	1	1	-
LOC110260851	0.0001	0.0001	0	1	1	-
LOC110260852	0.149329	0.258427667	-0.791266163	0.503241502	0.636918156	-
LOC110260853	0.0001	0.017525333	-7.453298074	0.709036939	1	-
LOC110260854	0.0001	0.0001	0	1	1	-
LOC110260855	0.0001	0.0001	0	1	1	-
LOC110260856	0.0001	0.0001	0	1	1	-
LOC110260857	0.0001	0.0001	0	1	1	-
LOC110260858	0.0001	0.0001	0	1	1	-
LOC110260859	0.005873	0.001025667	2.517535695	0.823911587	1	-
LOC110260860	0.0001	0.0001	0	1	1	-
LOC110260861	0.0001	0.0001	0	1	1	-
LOC110260862	0.0001	0.0001	0	1	1	-
LOC110260863	0.0001	0.0001	0	1	1	-
LOC110260876	0.0001	0.0001	0	1	1	-
LOC110260877	0.106690667	0.042157	1.339589864	0.357026607	0.496058501	-
LOC110260878	4.088543333	0.956738333	2.095390623	2.24E-28	8.61E-27	-
LOC110260879	0.0001	0.0001	0	1	1	-
LOC110260880	0.008796	0.026659	-1.599703156	0.435235741	0.574449614	-
LOC110260888	0.037370333	0.021005	0.831160646	0.417369914	0.557226457	-
LOC110260890	0.114917667	0.062300667	0.883281099	0.408310284	0.548055773	-
LOC110260891	0.867552	0.963587667	-0.151465694	0.678386694	0.785654154	-
LOC110260892	0.0001	0.083507	-9.705753327	0.165350538	0.271928099	-
LOC110260893	2.979522	2.551316	0.223839301	0.521688358	0.653010975	-
LOC110260894	0.258247667	0.127035667	1.023521708	0.432844132	0.572285062	-
LOC110260895	0.014721667	0.043636333	-1.567588869	0.752746842	0.841073969	-
LOC110260896	0.194555667	0.014748667	3.721526561	0.024350511	0.053622395	-
LOC110260897	0.078724333	0.0001	9.620665825	0.306775753	1	-
LOC110260899	0.0001	0.0001	0	1	1	-
LOC110260900	0.044243	0.014204333	1.639118093	0.5667797	0.69135864	-
LOC110260901	0.0001	0.0001	0	1	1	-
LOC110260905	0.123855333	0.120781	0.036262471	0.877925667	0.926758822	-
LOC110260906	0.0001	0.0001	0	1	1	-
LOC110260907	0.314627	0.130778	1.266522617	0.016844054	0.038760465	-
LOC110260908	0.092035333	0.043816333	1.070719072	0.659279542	0.769759313	-
LOC110260909	0.0001	0.021449667	-7.744811418	0.709036939	1	-
LOC110260910	0.100067333	0.075842667	0.399889492	0.83726867	0.900113472	-
LOC110260911	0.0001	0.0001	0	1	1	-
LOC110260912	0.086694667	0.013772667	2.654135322	0.24470332	0.370176245	-
LOC110260913	0.032147	0.0001	8.328540299	0.166678579	0.273534508	-
LOC110260914	0.080479333	0.0001	9.652474544	0.209748687	0.327366862	-
LOC110260915	0.105534	0.0001	10.04349215	0.020340797	0.045734358	-
LOC110260916	0.040322333	0.0001	8.655435315	0.214165885	0.333168325	-
LOC110260917	0.07004	0.034227	1.033044238	0.76547221	0.850202095	-
LOC110260918	0.021917	0.012757	0.780761238	0.609296747	0.727373069	-
LOC110260919	0.071912333	0.045642333	0.655866674	0.964156438	0.978914917	-
LOC110260920	0.017871667	0.0001	7.481530373	0.471550132	1	-
LOC110260921	0.008358	0.0001	6.385085854	0.427571628	1	-
LOC110260924	0.0001	0.0001	0	1	1	-
LOC110260926	0.038094667	0.106977667	-1.489648705	0.323307875	0.459209829	-
LOC110260928	0.0001	0.0001	0	1	1	-
LOC110260929	0.324005	0.184852667	0.809640221	0.19578929	0.310234674	-
LOC110260931	0.0001	0.0001	0	1	1	-
LOC110260932	0.0001	0.0001	0	1	1	-
LOC110260934	0.0001	0.0001	0	1	1	-
LOC110260938	0.0001	0.0001	0	1	1	-
LOC110260939	1.053171333	0.879333	0.260258641	0.67311427	0.781549966	-
LOC110260940	2.372354333	0.403761667	2.554743654	1.40E-10	1.11E-09	-
LOC110260941	1.084895	0.410709	1.401366953	9.86E-07	4.87E-06	-
LOC110260943	5.636452667	4.903434667	0.200994824	0.653140698	0.764326398	-
LOC110260944	0.850406333	1.014482	-0.254519021	0.797897605	0.873858467	-
LOC110260945	0.280333	0.096123333	1.544183001	0.326951166	0.463231519	-
LOC110260950	0.0001	0.0001	0	1	1	-
LOC110260951	0.0001	0.0001	0	1	1	-
LOC110260952	0.0001	0.0001	0	1	1	-
LOC110260953	0.0001	0.0001	0	1	1	-
LOC110260955	0.0001	0.0001	0	1	1	-
LOC110260956	0.0001	0.0001	0	1	1	-
LOC110260957	0.010149	0.020393667	-1.006783604	0.681379453	0.787830766	-
LOC110260958	0.0001	0.0001	0	1	1	-
LOC110260959	0.0001	0.0001	0	1	1	-
LOC110260960	0.031534333	0.023206667	0.44238412	0.792201804	0.869740531	-
LOC110260961	0.029608667	0.007599667	1.962011479	0.693987273	1	-
LOC110260962	0.0001	0.005531667	-5.789642318	0.659806125	1	-
LOC110260963	0.0001	0.0001	0	1	1	-
LOC110260966	0.0001	0.0001	0	1	1	-
LOC110260967	0.028925667	0.0001	8.1762064	0.500853742	1	-
LOC110260968	0.0001	0.0001	0	1	1	-
LOC110260970	0.010695	0.010797333	-0.013738565	0.990628489	0.994488882	-
LOC110260972	0.0001	0.0001	0	1	1	-
LOC110260973	0.022287333	0.034741333	-0.640429115	0.775246497	0.85785473	-
LOC110260974	0.006215667	0.0001	5.957837232	0.625741597	1	-
LOC110260975	0.016975667	0.016533333	0.038090613	0.993586147	0.995914758	-
LOC110260976	0.122779333	0.099163667	0.308184219	0.942594039	0.967322696	-
LOC110260978	0.0001	0.0001	0	1	1	-
LOC110260979	2.814073	1.531846667	0.877387859	5.78E-05	0.000222195	-
LOC110260980	0.532429333	0.326339333	0.706217172	0.740709581	0.832756858	-
LOC110260981	0.083175333	0.054495333	0.610023052	0.696649751	0.799026895	-
LOC110260982	0.883828	0.273160667	1.694015877	0.020171325	0.045406951	-
LOC110260983	1.769986667	1.506255667	0.232771824	0.695326799	0.79795781	-
LOC110260985	1.811048667	0.975871667	0.892061973	0.02770691	0.060130091	-
LOC110260988	1.706380667	0.401519667	2.087396966	0.004871387	0.012827065	-
LOC110260989	0.0001	0.0001	0	1	1	-
LOC110260990	0.0001	0.0001	0	1	1	-
LOC110260991	0.0001	0.0001	0	1	1	-
LOC110260992	0.256142667	0.320945	-0.325378497	0.524442951	0.655467602	-
LOC110260993	0.913597667	0.187992667	2.280882581	0.081478799	0.151875141	-
LOC110260994	13.05763767	0.168776	6.273640337	4.03E-78	1.45E-75	up
LOC110260995	0.002369667	0.032263	-3.767124556	0.84907775	1	-
LOC110260996	0.557295333	0.880335333	-0.659611101	0.057839611	0.113234289	-
LOC110260997	0.0001	0.0001	0	1	1	-
LOC110260998	0.634923333	0.371783333	0.772120301	0.334264466	0.471312898	-
LOC110260999	0.061852667	0.020389	1.601044777	0.399365708	0.539921875	-
LOC110261000	0.0001	0.0001	0	1	1	-
LOC110261001	0.0001	0.0001	0	1	1	-
LOC110261002	0.097552667	0.045697333	1.094071331	0.84018239	1	-
LOC110261003	0.226233667	0.062105333	1.865024567	0.244539075	0.370016001	-
LOC110261007	0.117128667	0.130272667	-0.153440203	0.837652983	0.900151896	-
LOC110261008	5.821941333	10.161053	-0.803477711	8.04E-09	5.20E-08	-
LOC110261012	0.405374	0.278807	0.539986776	0.645729133	0.758076604	-
LOC110261013	2.218209333	1.204036333	0.881516592	0.08869983	0.162721787	-
LOC110261014	0.292467333	0.163491	0.839064275	0.830057314	0.895699601	-
LOC110261015	0.129920667	0.111028333	0.226703056	0.86686584	0.919879099	-
LOC110261016	0.049673	0.0001	8.956318071	0.500853742	1	-
LOC110261017	1.539490333	0.588089333	1.38834558	0.171641229	0.279677349	-
LOC110261018	0.652567	0.13521	2.270924177	0.082149017	0.152929735	-
LOC110261020	0.034753333	0.0001	8.441007549	0.790861922	1	-
LOC110261021	1.489777	0.499841333	1.575554282	4.66E-11	3.90E-10	-
LOC110261022	0.11345	0.0001	10.14784089	0.130814626	0.224856236	-
LOC110261023	0.105765	0.083017667	0.349371998	0.811975091	0.883449321	-
LOC110261024	0.0001	0.052499333	-9.036155293	0.008544099	0.021231974	-
LOC110261034	2.878667	0.961663	1.581797592	9.94E-09	6.35E-08	-
LOC110261036	0.168359333	0.116722667	0.528458953	0.595955861	0.716343762	-
LOC110261037	0.0001	0.0001	0	1	1	-
LOC110261038	0.013376333	0.0001	7.063538894	0.643745421	1	-
LOC110261039	0.950790333	1.111443333	-0.225235254	0.646978513	0.758981634	-
LOC110261040	0.0001	0.0001	0	1	1	-
LOC110261041	0.0001	0.0001	0	1	1	-
LOC110261042	0.662504667	0.275158	1.267670342	0.03162868	0.067275888	-
LOC110261043	0.129313	0.038130333	1.76185627	0.202053183	0.318042036	-
LOC110261044	443.572601	201.7433577	1.136649081	8.28E-17	1.22E-15	up
LOC110261045	0.0001	0.0001	0	1	1	-
LOC110261046	0.0001	0.0001	0	1	1	-
LOC110261047	0.0001	0.0001	0	1	1	-
LOC110261048	6.498925667	4.829022	0.428470211	0.001971501	0.005645822	-
LOC110261050	0.0001	0.0001	0	1	1	-
LOC110261051	1.553177	0.202294	2.940696813	8.50E-19	1.52E-17	-
LOC110261052	0.257602333	0.051610333	2.319413808	0.229856043	0.352194299	-
LOC110261055	0.595158667	0.111308333	2.418712729	0.050114696	0.100045436	-
LOC110261063	0.076932333	0.0001	9.587446255	0.035778928	0.074832645	-
LOC110261065	7.452665667	9.400253	-0.334943046	0.029006506	0.062586584	-
LOC110261066	0.065576	0.168953667	-1.365387852	0.259606829	0.387782512	-
LOC110261067	0.0001	0.0001	0	1	1	-
LOC110261070	0.057736667	0.0001	9.173344008	0.21064667	0.328579806	-
