id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko04261	Adrenergic signaling in cardiomyocytes	3/185	136/6035	0.793439832	0.842094189	"CREB5(1.30524183694),RAPGEF3(1.39927348072),TNNI3(1.08400169954)"	"CREB5(1.30524183694),RAPGEF3(1.39927348072),TNNI3(1.08400169954)"
ko05223	Non-small cell lung cancer	1/185	51/6035	0.797002796	0.842094189	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko04310	Wnt signaling pathway	3/185	137/6035	0.797534988	0.842094189	"FRAT2(1.12984885252),PRKCG(1.39222538185),WNT5A(1.1683823436)"	"FRAT2(1.12984885252),PRKCG(1.39222538185),WNT5A(1.1683823436)"
ko04660	T cell receptor signaling pathway	2/185	96/6035	0.799204255	0.842094189	"NFKBIA(1.17865304471),VAV3(1.33340079608)"	"NFKBIA(1.17865304471),VAV3(1.33340079608)"
ko04923	Regulation of lipolysis in adipocyte	1/185	52/6035	0.803278612	0.842094189	PTGS2(1.55532095758)	PTGS2(1.55532095758)
ko05221	Acute myeloid leukemia	1/185	53/6035	0.809361423	0.842094189	SPI1(1.50935134992)	SPI1(1.50935134992)
ko04916	Melanogenesis	2/185	99/6035	0.813009099	0.842094189	"PRKCG(1.39222538185),WNT5A(1.1683823436)"	"PRKCG(1.39222538185),WNT5A(1.1683823436)"
ko05217	Basal cell carcinoma	1/185	54/6035	0.815257133	0.842094189	WNT5A(1.1683823436)	WNT5A(1.1683823436)
ko04260	Cardiac muscle contraction	1/185	55/6035	0.820971467	0.842094189	TNNI3(1.08400169954)	TNNI3(1.08400169954)
ko04730	Long-term depression	1/185	57/6035	0.831878039	0.842094189	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko05230	Central carbon metabolism in cancer	1/185	58/6035	0.837080876	0.842094189	SLC2A1(1.03151241193)	SLC2A1(1.03151241193)
ko04921	Oxytocin signaling pathway	3/185	148/6035	0.838273325	0.842094189	"NPR2(1.32465866308),PRKCG(1.39222538185),PTGS2(1.55532095758)"	"NPR2(1.32465866308),PRKCG(1.39222538185),PTGS2(1.55532095758)"
ko04212	Longevity regulating pathway - worm	1/185	59/6035	0.842123546	0.842094189	GABARAPL1(1.71241442719)	GABARAPL1(1.71241442719)
ko04391	Hippo signaling pathway -fly	1/185	59/6035	0.842123546	0.842094189	PARD6B(1.13582282895)	PARD6B(1.13582282895)
ko05214	Glioma	1/185	59/6035	0.842123546	0.842094189	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko05211	Renal cell carcinoma	1/185	61/6035	0.851747852	0.842094189	SLC2A1(1.03151241193)	SLC2A1(1.03151241193)
ko04724	Glutamatergic synapse	2/185	109/6035	0.853120881	0.842094189	"PRKCG(1.39222538185),SLC38A3(2.22006606819)"	"PRKCG(1.39222538185),SLC38A3(2.22006606819)"
ko04664	Fc epsilon RI signaling pathway	1/185	62/6035	0.856338855	0.842094189	VAV3(1.33340079608)	VAV3(1.33340079608)
ko05131	Shigellosis	1/185	62/6035	0.856338855	0.842094189	NFKBIA(1.17865304471)	NFKBIA(1.17865304471)
ko04924	Renin secretion	1/185	63/6035	0.86078843	0.842094189	PDE1B(1.10604592631)	PDE1B(1.10604592631)
ko05220	Chronic myeloid leukemia	1/185	65/6035	0.869280501	0.842094189	NFKBIA(1.17865304471)	NFKBIA(1.17865304471)
ko04722	Neurotrophin signaling pathway	2/185	114/6035	0.870102961	0.842094189	"NFKBIA(1.17865304471),NGFR(2.89834916686)"	"NFKBIA(1.17865304471),NGFR(2.89834916686)"
ko04152	AMPK signaling pathway	2/185	116/6035	0.876378664	0.842094189	"CREB5(1.30524183694),PCK1(1.14395641789)"	"CREB5(1.30524183694),PCK1(1.14395641789)"
ko04022	cGMP - PKG signaling pathway	3/185	161/6035	0.877170862	0.842094189	"CREB5(1.30524183694),NPR2(1.32465866308),PPIF(1.67758411457)"	"CREB5(1.30524183694),NPR2(1.32465866308),PPIF(1.67758411457)"
ko05160	Hepatitis C	2/185	117/6035	0.879411184	0.842094189	"IRF9(1.22284014357),NFKBIA(1.17865304471)"	"IRF9(1.22284014357),NFKBIA(1.17865304471)"
ko04111	Cell cycle - yeast	1/185	68/6035	0.881062039	0.842094189	NCAPD2(1.08531280997)	NCAPD2(1.08531280997)
ko04520	Adherens junction	1/185	69/6035	0.884749574	0.842094189	PTPN1(1.61543282917)	PTPN1(1.61543282917)
ko04917	Prolactin signaling pathway	1/185	69/6035	0.884749574	0.842094189	JAK2(1.16750657076)	JAK2(1.16750657076)
ko04080	Neuroactive ligand-receptor interaction	6/185	289/6035	0.885311876	0.842094189	"ADORA2A(1.85822104054),GABRP(2.38288943353),GIPR(1.19107990747),OPRL1(1.39933034888),P2RY6(1.53897230596),S1PR1(1.15221988743)"	"ADORA2A(1.85822104054),GABRP(2.38288943353),GIPR(1.19107990747),OPRL1(1.39933034888),P2RY6(1.53897230596),S1PR1(1.15221988743)"
ko04971	Gastric acid secretion	1/185	70/6035	0.888323381	0.842094189	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko00230	Purine metabolism	3/185	166/6035	0.889784217	0.842094189	"ENTPD4(1.01945109858),NPR2(1.32465866308),PDE1B(1.10604592631)"	"ENTPD4(1.01945109858),NPR2(1.32465866308),PDE1B(1.10604592631)"
ko04013	MAPK signaling pathway - fly	1/185	77/6035	0.910435683	0.857492972	DUSP10(1.2697440963)	DUSP10(1.2697440963)
ko04540	Gap junction	1/185	79/6035	0.91591185	0.857492972	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko04914	Progesterone-mediated oocyte maturation	1/185	80/6035	0.918523721	0.857492972	CPEB4(1.2286994393)	CPEB4(1.2286994393)
ko04972	Pancreatic secretion	1/185	86/6035	0.932584405	0.866697693	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko04713	Circadian entrainment	1/185	89/6035	0.938681242	0.868451845	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko00240	Pyrimidine metabolism	1/185	94/6035	0.947647824	0.872833522	ENTPD4(1.01945109858)	ENTPD4(1.01945109858)
ko04114	Oocyte meiosis	1/185	106/6035	0.964197425	0.883632617	CPEB4(1.2286994393)	CPEB4(1.2286994393)
ko00190	Oxidative phosphorylation	1/185	112/6035	0.970401021	0.883632617	ATP6V0A1(1.23163951146)	ATP6V0A1(1.23163951146)
ko04611	Platelet activation	1/185	114/6035	0.972221295	0.883632617	COL1A1(1.29297876392)	COL1A1(1.29297876392)
ko03013	RNA transport	1/185	140/6035	0.987851937	0.892729561	UPF2(1.18475543214)	UPF2(1.18475543214)
ko05010	Alzheimer's disease	1/185	149/6035	0.990884265	0.892729561	APOE(2.16811614822)	APOE(2.16811614822)
